country,WAGES,PRICES,GDP,EMPLOY,MONEY1,MONEY2,UNEMPLOY
Ausstralia,4.41,3.75,3.04,1.68,9.1,10.98,8.68
Austria,4.15,2.71,2.55,0.65,5.37,7.37,5.48
Belgium,3.99,2.37,2.16,0.34,5.87,-999999,8.49
Canada,3.76,2.83,2.03,1.17,6.13,8.51,9.51
Denmark,3.78,2.61,2.02,0.02,3.21,4.51,7.68
Finland,5.65,3.11,1.78,-1.06,5.97,-999999,10.44
France,3.55,2.4,2.08,0.28,5.19,4.05,10.84
Germany,4.08,2.78,2.71,0.08,9.08,7.59,6.86
Greece,14.18,13.09,2.08,0.87,14.46,14.14,8.84
Iceland,-999999,8.42,1.54,-0.13,10.73,13.64,3.07
Ireland,4.5,2.51,6.4,2.16,-999999,-999999,13.81
Italy,6.16,4.86,1.68,-0.3,4.75,4.17,10.46
Japan,2.28,1.47,2.81,1.06,5.56,4.49,2.65
Korea,12.83,6.13,7.73,2.57,-999999,17.59,2.4
Luxembourg,-999999,2.53,5.64,3.02,-999999,7.22,2.39
Mexico,-999999,30.59,2.67,4.56,-999999,32.53,3.71
Netherlands,2.59,2.22,2.86,1.88,6.31,6.61,6.41
Norway,4.31,3.12,2.98,0.36,5.98,4.66,5.07
NZ,3.39,3.22,2.01,0.91,8.16,7.8,7.78
Portugal,10.58,7.71,2.79,0.33,12.35,12.08,5.73
Spain,6.37,4.98,2.6,0.89,10.49,9.25,20.04
Sweden,6.23,4.71,1.17,-0.94,6.09,-999999,6.05
Switzerland,3.02,2.77,1.15,0.79,4.27,5.1,2.85
Turkey,-999999,75.98,4.18,2.02,-999999,-999999,7.6
UK,5.45,5.48,1.97,0.66,9.23,9.51,8.7
USA,3.7,3.51,2.46,1.53,3.73,3.88,5.96
